"IFC","Functional_Class","IHOV_1","IHOV_2","IHOV_4","Flag"
1,"Freeway","1484","329","72",0
2,"Prime arterial","1318","0","0",0
3,"Major arterial","5854","4","0",0
4,"Collector","4128","0","0",0
5,"Local collector","5666","0","0",0
6,"Rural collector","444","0","0",0
7,"Local Road","8926","0","0",0
8,"Freeway ramps","303","190","1",0
9,"Local ramps","2075","15","40",0
10,"Zone connectors","10171","0","0",0
