"IFC","Min Toll (OP)","Max Toll (OP)","Min Toll (AM)","Max Toll (AM)","Min Toll (PM)","Max Toll (PM)","Flag"
1,0,142,0,145,0,145,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,1,0,1,0,1,0
9,0,67,0,67,0,67,0
10,0,0,0,0,0,0,0
