"year","orig_msa","orig_fred_flag","dest_msa","dest_fred_flag","person_trips","auto_trips"
2016,0,0,0,0,692517,679388
2016,0,0,0,1,26062,24877
2016,0,0,1,0,7652,7507
2016,0,0,2,0,6269,6144
2016,0,0,3,0,10899,10718
2016,0,1,0,0,25059,23991
2016,0,1,0,1,147647,144858
2016,1,0,0,0,8261,8109
2016,1,0,1,0,968539,955282
2016,1,0,3,0,3919,3865
2016,1,0,4,0,2046,2039
2016,1,0,5,0,189,189
2016,2,0,0,0,6187,6060
2016,2,0,2,0,484489,473957
2016,2,0,3,0,1544,1485
2016,3,0,0,0,10636,10459
2016,3,0,1,0,4088,4036
2016,3,0,2,0,1597,1539
2016,3,0,3,0,544486,535091
2016,3,0,6,0,160,160
2016,4,0,1,0,2001,1995
2016,4,0,4,0,399777,389625
2016,4,0,5,0,13532,13070
2016,5,0,1,0,15,15
2016,5,0,3,0,1,1
2016,5,0,4,0,13800,13337
2016,5,0,5,0,503676,489177
2016,6,0,3,0,184,184
2016,6,0,6,0,15595,15390
