"year","home_msa","emp_center","workers"
2016,0,0,172420
2016,0,1,33501
2016,0,2,11615
2016,0,3,27509
2016,0,4,12164
2016,0,5,956
2016,0,6,13610
2016,0,7,53
2016,0,8,9187
2016,0,9,12455
2016,0,10,242
2016,0,11,3566
2016,0,NA,359014
2016,1,0,208236
2016,1,1,16397
2016,1,2,35239
2016,1,3,43609
2016,1,4,37521
2016,1,5,6179
2016,1,6,12531
2016,1,7,816
2016,1,8,2141
2016,1,9,3098
2016,1,10,4322
2016,1,11,1474
2016,1,NA,431622
2016,2,0,114979
2016,2,1,13466
2016,2,2,4141
2016,2,3,10261
2016,2,4,4119
2016,2,5,263
2016,2,6,4590
2016,2,7,10
2016,2,8,1330
2016,2,9,2430
2016,2,10,70
2016,2,11,1872
2016,2,NA,244610
2016,3,0,150200
2016,3,1,11001
2016,3,2,8184
2016,3,3,18412
2016,3,4,7231
2016,3,5,1023
2016,3,6,6927
2016,3,7,87
2016,3,8,1089
2016,3,9,1907
2016,3,10,343
2016,3,11,1252
2016,3,NA,290054
2016,4,0,112074
2016,4,1,2083
2016,4,2,7396
2016,4,3,4907
2016,4,4,9573
2016,4,5,28952
2016,4,6,1047
2016,4,7,26138
2016,4,8,66
2016,4,9,87
2016,4,10,72
2016,4,11,111
2016,4,NA,237356
2016,5,0,126659
2016,5,1,1218
2016,5,2,5545
2016,5,3,5185
2016,5,4,3839
2016,5,5,33390
2016,5,6,1049
2016,5,7,4712
2016,5,8,90
2016,5,9,146
2016,5,10,200
2016,5,11,105
2016,5,NA,273399
2016,6,0,7758
2016,6,1,82
2016,6,2,83
2016,6,3,149
2016,6,4,53
2016,6,5,40
2016,6,6,60
2016,6,7,40
2016,6,8,16
2016,6,9,35
2016,6,10,11
2016,6,11,14
2016,6,NA,19170
