"","MSA.orig","0","1","4"
"1",0,-0.0191122196816096,-0.000268080673315296,-0.158848920844235
"2",0,-0.54799403095182,-0.311312977567738,-0.365775743488285
"3",0,-0.200831549894726,-0.607851016267816,-0.860988714339882
"4",0,-0.224887080576231,-0.362909133798382,-0.154233368746745
"5",0,-1.36550949634252,-2.10709332515231,0
"6",0,-4.57253548766435,-3.73277495536282,-0.00294956965134219
"7",0,-0.794843002601908,-3.12818528987742,-0.0127801365322568
"8",0,-4.99281438191732,-4.08218765258789,0
"9",0,-1.11294809977213,-1.49620564778645,0
"10",0,0,0,-0.0317230224609375
