"year","orig_msa","dest_msa","period","mode","purpose","nautos","trips"
2035,0,0,"AM","DA","Other",0,1117
2035,0,0,"AM","DA","Other",1,18499
2035,0,0,"AM","DA","Other",2,30681
2035,0,0,"AM","DA","Other",3,10992
2035,0,0,"AM","DA","Other",4,6761
2035,0,0,"AM","DA","Work",0,956
2035,0,0,"AM","DA","Work",1,19082
2035,0,0,"AM","DA","Work",2,23271
2035,0,0,"AM","DA","Work",3,7454
2035,0,0,"AM","DA","Work",4,3536
2035,0,0,"AM","NM","Other",0,2198
2035,0,0,"AM","NM","Other",1,1918
2035,0,0,"AM","NM","Other",2,2027
2035,0,0,"AM","NM","Other",3,690
2035,0,0,"AM","NM","Other",4,552
2035,0,0,"AM","NM","Work",0,4759
2035,0,0,"AM","NM","Work",1,3182
2035,0,0,"AM","NM","Work",2,2267
2035,0,0,"AM","NM","Work",3,729
2035,0,0,"AM","NM","Work",4,431
2035,0,0,"AM","SR","Other",0,34722
2035,0,0,"AM","SR","Other",1,85276
2035,0,0,"AM","SR","Other",2,90364
2035,0,0,"AM","SR","Other",3,34058
2035,0,0,"AM","SR","Other",4,23503
2035,0,0,"AM","SR","Work",0,10563
2035,0,0,"AM","SR","Work",1,9768
2035,0,0,"AM","SR","Work",2,9788
2035,0,0,"AM","SR","Work",3,3581
2035,0,0,"AM","SR","Work",4,2050
2035,0,0,"AM","TRN","Other",0,2915
2035,0,0,"AM","TRN","Other",1,2403
2035,0,0,"AM","TRN","Other",2,2017
2035,0,0,"AM","TRN","Other",3,542
2035,0,0,"AM","TRN","Other",4,396
2035,0,0,"AM","TRN","Work",0,288
2035,0,0,"AM","TRN","Work",1,232
2035,0,0,"AM","TRN","Work",2,272
2035,0,0,"AM","TRN","Work",3,96
2035,0,0,"AM","TRN","Work",4,62
2035,0,0,"EA","DA","Other",0,11
2035,0,0,"EA","DA","Other",1,596
2035,0,0,"EA","DA","Other",2,922
2035,0,0,"EA","DA","Other",3,298
2035,0,0,"EA","DA","Other",4,218
2035,0,0,"EA","DA","Work",0,169
2035,0,0,"EA","DA","Work",1,2686
2035,0,0,"EA","DA","Work",2,3324
2035,0,0,"EA","DA","Work",3,1056
2035,0,0,"EA","DA","Work",4,546
2035,0,0,"EA","NM","Other",0,91
2035,0,0,"EA","NM","Other",1,106
2035,0,0,"EA","NM","Other",2,116
2035,0,0,"EA","NM","Other",3,40
2035,0,0,"EA","NM","Other",4,22
2035,0,0,"EA","NM","Work",0,980
2035,0,0,"EA","NM","Work",1,664
2035,0,0,"EA","NM","Work",2,471
2035,0,0,"EA","NM","Work",3,121
2035,0,0,"EA","NM","Work",4,87
2035,0,0,"EA","SR","Other",0,883
2035,0,0,"EA","SR","Other",1,2182
2035,0,0,"EA","SR","Other",2,2179
2035,0,0,"EA","SR","Other",3,876
2035,0,0,"EA","SR","Other",4,673
2035,0,0,"EA","SR","Work",0,1615
2035,0,0,"EA","SR","Work",1,1024
2035,0,0,"EA","SR","Work",2,918
2035,0,0,"EA","SR","Work",3,337
2035,0,0,"EA","SR","Work",4,223
2035,0,0,"EA","TRN","Other",0,109
2035,0,0,"EA","TRN","Other",1,62
2035,0,0,"EA","TRN","Other",2,49
2035,0,0,"EA","TRN","Other",3,10
2035,0,0,"EA","TRN","Other",4,11
2035,0,0,"EA","TRN","Work",0,55
2035,0,0,"EA","TRN","Work",1,61
2035,0,0,"EA","TRN","Work",2,67
2035,0,0,"EA","TRN","Work",3,16
2035,0,0,"EA","TRN","Work",4,10
2035,0,0,"MD","DA","Other",0,3423
2035,0,0,"MD","DA","Other",1,56029
2035,0,0,"MD","DA","Other",2,93631
2035,0,0,"MD","DA","Other",3,30350
2035,0,0,"MD","DA","Other",4,16030
2035,0,0,"MD","DA","Work",0,982
2035,0,0,"MD","DA","Work",1,26528
2035,0,0,"MD","DA","Work",2,26495
2035,0,0,"MD","DA","Work",3,8069
2035,0,0,"MD","DA","Work",4,3744
2035,0,0,"MD","NM","Other",0,11250
2035,0,0,"MD","NM","Other",1,6925
2035,0,0,"MD","NM","Other",2,6254
2035,0,0,"MD","NM","Other",3,2075
2035,0,0,"MD","NM","Other",4,1564
2035,0,0,"MD","NM","Work",0,4362
2035,0,0,"MD","NM","Work",1,3306
2035,0,0,"MD","NM","Work",2,2152
2035,0,0,"MD","NM","Work",3,642
2035,0,0,"MD","NM","Work",4,415
2035,0,0,"MD","SR","Other",0,111524
2035,0,0,"MD","SR","Other",1,152314
2035,0,0,"MD","SR","Other",2,150631
2035,0,0,"MD","SR","Other",3,53854
2035,0,0,"MD","SR","Other",4,37084
2035,0,0,"MD","SR","Work",0,10201
2035,0,0,"MD","SR","Work",1,11594
2035,0,0,"MD","SR","Work",2,8662
2035,0,0,"MD","SR","Work",3,3141
2035,0,0,"MD","SR","Work",4,1709
2035,0,0,"MD","TRN","Other",0,2624
2035,0,0,"MD","TRN","Other",1,2129
2035,0,0,"MD","TRN","Other",2,1976
2035,0,0,"MD","TRN","Other",3,585
2035,0,0,"MD","TRN","Other",4,372
2035,0,0,"MD","TRN","Work",0,183
2035,0,0,"MD","TRN","Work",1,187
2035,0,0,"MD","TRN","Work",2,194
2035,0,0,"MD","TRN","Work",3,55
2035,0,0,"MD","TRN","Work",4,40
2035,0,0,"NT","DA","Other",0,533
2035,0,0,"NT","DA","Other",1,14292
2035,0,0,"NT","DA","Other",2,24618
2035,0,0,"NT","DA","Other",3,8565
2035,0,0,"NT","DA","Other",4,4566
2035,0,0,"NT","DA","Work",0,454
2035,0,0,"NT","DA","Work",1,16034
2035,0,0,"NT","DA","Work",2,15220
2035,0,0,"NT","DA","Work",3,4592
2035,0,0,"NT","DA","Work",4,2145
2035,0,0,"NT","NM","Other",0,2911
2035,0,0,"NT","NM","Other",1,2179
2035,0,0,"NT","NM","Other",2,2035
2035,0,0,"NT","NM","Other",3,706
2035,0,0,"NT","NM","Other",4,554
2035,0,0,"NT","NM","Work",0,2544
2035,0,0,"NT","NM","Work",1,2232
2035,0,0,"NT","NM","Work",2,1530
2035,0,0,"NT","NM","Work",3,450
2035,0,0,"NT","NM","Work",4,300
2035,0,0,"NT","SR","Other",0,23081
2035,0,0,"NT","SR","Other",1,39309
2035,0,0,"NT","SR","Other",2,37705
2035,0,0,"NT","SR","Other",3,14422
2035,0,0,"NT","SR","Other",4,10257
2035,0,0,"NT","SR","Work",0,7178
2035,0,0,"NT","SR","Work",1,7940
2035,0,0,"NT","SR","Work",2,5371
2035,0,0,"NT","SR","Work",3,1817
2035,0,0,"NT","SR","Work",4,1037
2035,0,0,"NT","TRN","Other",0,257
2035,0,0,"NT","TRN","Other",1,310
2035,0,0,"NT","TRN","Other",2,295
2035,0,0,"NT","TRN","Other",3,123
2035,0,0,"NT","TRN","Other",4,108
2035,0,0,"NT","TRN","Work",0,96
2035,0,0,"NT","TRN","Work",1,131
2035,0,0,"NT","TRN","Work",2,138
2035,0,0,"NT","TRN","Work",3,38
2035,0,0,"NT","TRN","Work",4,29
2035,0,0,"PM","DA","Other",0,1336
2035,0,0,"PM","DA","Other",1,23901
2035,0,0,"PM","DA","Other",2,41341
2035,0,0,"PM","DA","Other",3,13843
2035,0,0,"PM","DA","Other",4,7871
2035,0,0,"PM","DA","Work",0,1419
2035,0,0,"PM","DA","Work",1,32739
2035,0,0,"PM","DA","Work",2,36872
2035,0,0,"PM","DA","Work",3,11498
2035,0,0,"PM","DA","Work",4,5317
2035,0,0,"PM","NM","Other",0,4922
2035,0,0,"PM","NM","Other",1,3408
2035,0,0,"PM","NM","Other",2,3511
2035,0,0,"PM","NM","Other",3,1177
2035,0,0,"PM","NM","Other",4,853
2035,0,0,"PM","NM","Work",0,6033
2035,0,0,"PM","NM","Work",1,4622
2035,0,0,"PM","NM","Work",2,3261
2035,0,0,"PM","NM","Work",3,1048
2035,0,0,"PM","NM","Work",4,588
2035,0,0,"PM","SR","Other",0,49410
2035,0,0,"PM","SR","Other",1,78673
2035,0,0,"PM","SR","Other",2,76449
2035,0,0,"PM","SR","Other",3,28129
2035,0,0,"PM","SR","Other",4,19864
2035,0,0,"PM","SR","Work",0,15757
2035,0,0,"PM","SR","Work",1,14957
2035,0,0,"PM","SR","Work",2,13009
2035,0,0,"PM","SR","Work",3,4431
2035,0,0,"PM","SR","Work",4,2634
2035,0,0,"PM","TRN","Other",0,1426
2035,0,0,"PM","TRN","Other",1,1277
2035,0,0,"PM","TRN","Other",2,1095
2035,0,0,"PM","TRN","Other",3,337
2035,0,0,"PM","TRN","Other",4,240
2035,0,0,"PM","TRN","Work",0,296
2035,0,0,"PM","TRN","Work",1,243
2035,0,0,"PM","TRN","Work",2,265
2035,0,0,"PM","TRN","Work",3,84
2035,0,0,"PM","TRN","Work",4,63
2035,0,1,"AM","DA","Other",0,361
2035,0,1,"AM","DA","Other",1,3837
2035,0,1,"AM","DA","Other",2,6734
2035,0,1,"AM","DA","Other",3,2449
2035,0,1,"AM","DA","Other",4,1366
2035,0,1,"AM","DA","Work",0,798
2035,0,1,"AM","DA","Work",1,13290
2035,0,1,"AM","DA","Work",2,19867
2035,0,1,"AM","DA","Work",3,7288
2035,0,1,"AM","DA","Work",4,3498
2035,0,1,"AM","NM","Other",0,963
2035,0,1,"AM","NM","Other",1,866
2035,0,1,"AM","NM","Other",2,741
2035,0,1,"AM","NM","Other",3,257
2035,0,1,"AM","NM","Other",4,213
2035,0,1,"AM","NM","Work",0,4320
2035,0,1,"AM","NM","Work",1,2235
2035,0,1,"AM","NM","Work",2,1596
2035,0,1,"AM","NM","Work",3,536
2035,0,1,"AM","NM","Work",4,326
2035,0,1,"AM","SR","Other",0,1995
2035,0,1,"AM","SR","Other",1,15347
2035,0,1,"AM","SR","Other",2,19033
2035,0,1,"AM","SR","Other",3,7603
2035,0,1,"AM","SR","Other",4,4710
2035,0,1,"AM","SR","Work",0,1492
2035,0,1,"AM","SR","Work",1,2726
2035,0,1,"AM","SR","Work",2,4158
2035,0,1,"AM","SR","Work",3,1861
2035,0,1,"AM","SR","Work",4,1204
2035,0,1,"AM","TRN","Other",0,2300
2035,0,1,"AM","TRN","Other",1,1598
2035,0,1,"AM","TRN","Other",2,1165
2035,0,1,"AM","TRN","Other",3,334
2035,0,1,"AM","TRN","Other",4,197
2035,0,1,"AM","TRN","Work",0,671
2035,0,1,"AM","TRN","Work",1,453
2035,0,1,"AM","TRN","Work",2,384
2035,0,1,"AM","TRN","Work",3,119
2035,0,1,"AM","TRN","Work",4,82
2035,0,1,"EA","DA","Other",0,7
2035,0,1,"EA","DA","Other",1,129
2035,0,1,"EA","DA","Other",2,174
2035,0,1,"EA","DA","Other",3,86
2035,0,1,"EA","DA","Other",4,36
2035,0,1,"EA","DA","Work",0,298
2035,0,1,"EA","DA","Work",1,3140
2035,0,1,"EA","DA","Work",2,4407
2035,0,1,"EA","DA","Work",3,1537
2035,0,1,"EA","DA","Work",4,864
2035,0,1,"EA","NM","Other",0,30
2035,0,1,"EA","NM","Other",1,41
2035,0,1,"EA","NM","Other",2,23
2035,0,1,"EA","NM","Other",3,8
2035,0,1,"EA","NM","Other",4,7
2035,0,1,"EA","NM","Work",0,1206
2035,0,1,"EA","NM","Work",1,664
2035,0,1,"EA","NM","Work",2,427
2035,0,1,"EA","NM","Work",3,145
2035,0,1,"EA","NM","Work",4,102
2035,0,1,"EA","SR","Other",0,43
2035,0,1,"EA","SR","Other",1,507
2035,0,1,"EA","SR","Other",2,734
2035,0,1,"EA","SR","Other",3,297
2035,0,1,"EA","SR","Other",4,176
2035,0,1,"EA","SR","Work",0,428
2035,0,1,"EA","SR","Work",1,539
2035,0,1,"EA","SR","Work",2,861
2035,0,1,"EA","SR","Work",3,399
2035,0,1,"EA","SR","Work",4,278
2035,0,1,"EA","TRN","Other",0,119
2035,0,1,"EA","TRN","Other",1,78
2035,0,1,"EA","TRN","Other",2,39
2035,0,1,"EA","TRN","Other",3,23
2035,0,1,"EA","TRN","Other",4,11
2035,0,1,"EA","TRN","Work",0,213
2035,0,1,"EA","TRN","Work",1,118
2035,0,1,"EA","TRN","Work",2,84
2035,0,1,"EA","TRN","Work",3,32
2035,0,1,"EA","TRN","Work",4,17
2035,0,1,"MD","DA","Other",0,1027
2035,0,1,"MD","DA","Other",1,12824
2035,0,1,"MD","DA","Other",2,23190
2035,0,1,"MD","DA","Other",3,7677
2035,0,1,"MD","DA","Other",4,3591
2035,0,1,"MD","DA","Work",0,499
2035,0,1,"MD","DA","Work",1,9067
2035,0,1,"MD","DA","Work",2,13952
2035,0,1,"MD","DA","Work",3,5068
2035,0,1,"MD","DA","Work",4,2362
2035,0,1,"MD","NM","Other",0,2565
2035,0,1,"MD","NM","Other",1,1872
2035,0,1,"MD","NM","Other",2,1399
2035,0,1,"MD","NM","Other",3,497
2035,0,1,"MD","NM","Other",4,358
