"year","orig_msa","dest_msa","period","avg_datime","avg_srtime","avg_distance"
2035,0,0,"AM",8.12763518399333,8.11466886969574,2.74437520818435
2035,0,0,"EA",8.17249110799169,8.16841937561294,3.86773832983998
2035,0,0,"MD",6.93596859647656,6.92033086703093,2.43696706330169
2035,0,0,"NT",6.04604812978614,6.03763391283369,2.5089245444441
2035,0,0,"PM",7.80339595543934,7.78658885665558,2.6383548938735
2035,0,1,"AM",23.2599704977198,22.7185854532594,10.3375688905575
2035,0,1,"EA",17.2214294266582,17.1144015080294,11.9982942849659
2035,0,1,"MD",16.9434709300506,16.8151625683136,8.607489954891
2035,0,1,"NT",13.9037432818379,13.8838431136367,8.6632778158183
2035,0,1,"PM",18.7100822389942,18.5970624306416,9.16949752569031
2035,0,2,"AM",18.1208318805325,17.7595605758469,9.64220071378528
2035,0,2,"EA",17.1827086823999,16.9784697527256,11.8891183863437
2035,0,2,"MD",16.8676497959817,16.4803595106125,9.11593285456894
2035,0,2,"NT",16.0365538350556,15.8609708922606,10.2967276446968
2035,0,2,"PM",21.6010714253512,20.6803475729436,10.5622325422164
2035,0,3,"AM",16.987911500272,16.949891597682,8.95394978291702
2035,0,3,"EA",16.825720759984,16.8234492633074,11.6786638270869
2035,0,3,"MD",15.7873189547362,15.7146539092477,8.56196286583494
2035,0,3,"NT",15.2397842048606,15.205953781828,9.71047242706298
2035,0,3,"PM",19.0532587499845,18.878753182169,9.96752391315403
2035,0,4,"AM",44.5264410232466,43.9796256921977,30.0074971460305
2035,0,4,"EA",35.2795668837971,35.2773648205467,30.7991928010874
2035,0,4,"MD",43.079855806439,42.2303050872066,32.1406352052746
2035,0,4,"NT",38.7020792158616,38.6973970314295,34.0562522472001
2035,0,4,"PM",45.8189991141002,45.6709693556458,31.6889496747655
2035,0,5,"AM",46.3825571669072,44.0090954656687,33.4746718661182
2035,0,5,"EA",38.2374545373023,37.6415724903345,33.9369087032974
2035,0,5,"MD",47.4044888164715,44.3787574928236,35.7288362998242
2035,0,5,"NT",42.7751501280036,42.47439979564,37.3904708630621
2035,0,5,"PM",50.5505184676621,45.5114720723917,35.0699339663327
2035,0,6,"AM",53.3092654129554,53.2062148390145,43.8959030019826
2035,0,6,"EA",39.867952898929,39.867952898929,34.4084421960931
2035,0,6,"MD",60.9930549522068,60.7898846866774,52.4276964734948
2035,0,6,"NT",64.5932610221938,64.5511910260892,57.9859013043198
2035,0,6,"PM",67.3445950179804,66.9672694852917,55.3516201553686
2035,1,0,"AM",20.3087446284258,19.9111636671388,9.83498355446049
2035,1,0,"EA",16.9363967652897,16.9179517587747,11.6648074277544
2035,1,0,"MD",16.7723304772915,16.7016842875545,8.69361131067033
2035,1,0,"NT",13.9901120898478,13.977896150889,8.7916785692458
2035,1,0,"PM",20.9676247861781,20.4658433892551,9.72147702929555
2035,1,1,"AM",12.4856915129006,12.136019037313,4.74392120019951
2035,1,1,"EA",11.7276557396905,11.6801081311052,6.75077148318062
2035,1,1,"MD",9.19903263705564,9.11919898325263,3.90605212408844
2035,1,1,"NT",7.93486293012996,7.91863023759802,4.07375088213112
2035,1,1,"PM",11.3739440254419,11.1028303801772,4.49784468656415
2035,1,2,"AM",31.6397161111161,30.6499890701825,20.7218687161389
