"","0","1","2","3","4","5","6","7","8","9","10","11"
"0",17.6692276033962,25.1366324973996,0,0,74.3710281710827,0,0,0,0,0,0,0
"1",33.6601461119175,22.3839273425109,0,0,68.2265763519772,0,0,0,0,0,0,0
"2",25.8579021859676,38.3685760349247,0,0,89.7970284482266,0,0,0,0,0,0,0
"3",38.2517748846013,35.8378680695845,0,0,86.6138178538806,0,0,0,0,0,0,0
"4",58.2786360433108,47.6258579150771,0,0,40.4026429881894,0,0,0,0,0,0,0
"5",63.4394998991441,45.6807331631371,0,0,49.5197914771314,0,0,0,0,0,0,0
"6",90.1088309199722,89.3343353889607,0,0,116.792507674959,0,0,0,0,0,0,0
"7",67.2050310770671,49.3772252400716,0,0,39.2300148010254,0,0,NA,NA,NA,NA,NA
"8",73.78187306722,64.932866414388,0,0,41.1797485351562,0,0,NA,NA,NA,NA,NA
"9",79.9567718505859,77.7268803914388,0,0,131.364471435547,0,0,NA,NA,NA,NA,NA
"10",90.1088309199722,89.3343353889607,0,0,116.792507674959,0,0,NA,NA,NA,NA,NA
"11",67.2050310770671,49.3772252400716,0,0,39.2300148010254,0,0,NA,NA,NA,NA,NA
