"","0","1","2","3","4","5","6","7","8","9"
"0",-0.0124925504010722,-0.143989977224489,-0.070077805339686,-0.0284462293351133,-0.106600787987858,-0.0235322525714423,-0.024482232007486,0.0982159058559802,-0.103919136017907,-0.0255841288327332
"1",-0.539775340796815,-0.414935111119835,-0.658304875663795,-0.472661836630976,-0.264262377532361,-0.191352768950225,-0.263182047610513,-0.112495371172017,-0.320383451093967,-0.586445370440927
"2",-0.306546170633368,-0.465072602835619,-0.0228361700734929,-0.335459423342556,-0.431561884329902,-0.371689430773884,-0.277378475074229,-0.282485198974612,-0.425682311362408,-0.765907384994179
"3",-0.234932095358211,-0.377895176253652,-0.169971882303649,-0.00859553527720891,-0.152344181534865,-0.157115289647578,-0.00103274928981989,-0.0764563706120924,-0.150425398878269,0
"4",-1.69980548889837,-1.58154834842477,-2.13240317968406,-2.09316503898395,0,-0.00671481389661466,-1.11572515053479,0,0,-2.08441021927004
"5",-4.38211059806523,-3.24066165133254,-4.65699756796262,-4.6342117363531,-0.00437166812528744,-0.0157801079366671,-2.32474793601615,-0.00469585846319731,-0.00532798470720053,-5.26963351437043
"6",-0.541889026435044,-1.10622898295196,-0.460962475839779,-0.0554432332613857,-0.0111876291311148,-0.117013907988252,-0.00150645662237281,-0.013523737589523,0.011845270792648,0
"7",-4.70014917160093,-3.55404721861095,-4.88399557560048,-4.75316533431631,0,-0.012881821982738,-2.09785591231451,0,0,-4.81880187988281
"8",-1.48233651194333,-1.56925646969623,-1.79506852170253,-1.71273283653072,0,-0.00557454709340277,-1.01624409357707,0,0,-1.64679718017578
"9",0,-0.139594197510249,-0.0672810006649058,0,0.0071160417262206,-0.158461372807338,0,-0.0341110229492188,0.0270767211914062,0
