"","0","1","2","3","4","5","6","7","8","9","10","11"
"0",-0.0137158149894994,-0.406955548047321,-0.582702284322245,-0.0421844068938455,-0.0203714053764159,-0.303542494906196,-0.00433003922891828,-0.311761001822568,0,0,-0.00433003922891828,-0.311761001822568
"1",-0.152559975502033,-0.268121320775887,-0.705438694333331,-0.177091611980998,-0.237573194772757,-0.0339911675895905,-0.0910614581199667,-0.0201498300844349,-0.218765535601094,-0.16033548768425,-0.0910614581199667,-0.0201498300844349
"2",-2.30852928281878,-3.25870062968971,-0.908344254519616,-3.65265907846448,-2.30108507318369,-3.6220243870293,-2.4912946537595,-3.66016717464365,-2.20604955794963,-1.95810509539666,-2.4912946537595,-3.66016717464365
"3",-0.122543021662715,-0.368008125060548,-2.93488633393272,-0.189211422582364,-0.0996891426664703,-0.124850294009555,-0.0346284034673516,-0.12564496571207,-0.0978775588162506,-0.0173270972491508,-0.0346284034673516,-0.12564496571207
"4",-1.62718417587689,-1.57869750174121,-1.83831986707587,-1.42331432280039,0,0,-0.705260565308905,0,0,-1.63423397405361,-0.705260565308905,0
"5",-0.259503619117041,-0.296896953327966,-0.379672210781251,-0.0913870988277097,0,0,-0.0508417171149489,0,0,-0.11525310554461,-0.0508417171149489,0
"6",-0.052916717089488,-0.242565061441979,-2.31530615094144,-0.0346298799139078,0,0,0,0,0,0,0,0
"7",0,-0.0889157547391406,-0.230791148733573,-0.00469585475076428,0,0,0,NA,NA,NA,NA,NA
"8",-1.82512726654878,-1.81050752977253,-2.05591558902822,-1.62078517293696,0,0,-0.78581629859076,NA,NA,NA,NA,NA
"9",0,-0.270983383148376,-1.50447170176405,-0.0249003612349128,0,0,0,NA,NA,NA,NA,NA
"10",-0.052916717089488,-0.242565061441979,-2.31530615094144,-0.0346298799139078,0,0,0,NA,NA,NA,NA,NA
"11",0,-0.0889157547391406,-0.230791148733573,-0.00469585475076428,0,0,0,NA,NA,NA,NA,NA
