"year","orig_msa","orig_nevshuttle_flag","dest_msa","dest_nevshuttle_flag","person_trips","auto_trips"
2035,0,0,0,0,795846,464760
2035,0,0,0,1,43033,14466
2035,0,0,1,0,8551,5731
2035,0,0,2,0,7144,5689
2035,0,0,3,0,13269,10202
2035,0,1,0,0,42485,15577
2035,0,1,0,1,312080,48265
2035,0,1,1,0,5,5
2035,0,1,2,0,2,2
2035,1,0,0,0,9575,6482
2035,1,0,1,0,1091113,758247
2035,1,0,3,0,4208,3397
2035,1,0,4,0,2326,1880
2035,1,0,5,0,202,187
2035,2,0,0,0,7228,5761
2035,2,0,2,0,593519,430511
2035,2,0,3,0,1296,1106
2035,3,0,0,0,13055,10013
2035,3,0,1,0,4329,3588
2035,3,0,2,0,1386,1202
2035,3,0,3,0,550616,423191
2035,3,0,5,0,3,2
2035,3,0,6,0,158,143
2035,4,0,1,0,2198,1796
2035,4,0,4,0,416554,302855
2035,4,0,5,0,13993,11108
2035,5,0,1,0,12,10
2035,5,0,3,0,3,2
2035,5,0,4,0,14158,11227
2035,5,0,5,0,556711,400830
2035,6,0,3,0,184,172
2035,6,0,5,0,2,NA
2035,6,0,6,0,29353,24751
