"year","home_msa","emp_center","workers"
2025,0,0,172315
2025,0,1,38816
2025,0,2,10979
2025,0,3,26867
2025,0,4,13163
2025,0,5,890
2025,0,6,13173
2025,0,7,45
2025,0,8,9455
2025,0,9,12005
2025,0,10,208
2025,0,11,3471
2025,0,NA,408825
2025,1,0,210180
2025,1,1,17336
2025,1,2,34714
2025,1,3,43216
2025,1,4,40525
2025,1,5,5803
2025,1,6,12863
2025,1,7,815
2025,1,8,2434
2025,1,9,2873
2025,1,10,3743
2025,1,11,1406
2025,1,NA,485957
2025,2,0,129521
2025,2,1,14454
2025,2,2,4175
2025,2,3,10673
2025,2,4,4912
2025,2,5,290
2025,2,6,4697
2025,2,7,23
2025,2,8,1664
2025,2,9,2636
2025,2,10,87
2025,2,11,1872
2025,2,NA,299389
2025,3,0,141336
2025,3,1,10233
2025,3,2,7191
2025,3,3,16240
2025,3,4,6970
2025,3,5,931
2025,3,6,6208
2025,3,7,92
2025,3,8,1108
2025,3,9,1639
2025,3,10,303
2025,3,11,1112
2025,3,NA,300067
2025,4,0,111221
2025,4,1,1998
2025,4,2,6991
2025,4,3,4427
2025,4,4,10001
2025,4,5,28316
2025,4,6,1044
2025,4,7,26390
2025,4,8,68
2025,4,9,89
2025,4,10,69
2025,4,11,102
2025,4,NA,253757
2025,5,0,128605
2025,5,1,1216
2025,5,2,5216
2025,5,3,5037
2025,5,4,4052
2025,5,5,34791
2025,5,6,947
2025,5,7,4274
2025,5,8,100
2025,5,9,148
2025,5,10,186
2025,5,11,90
2025,5,NA,300011
2025,6,0,7294
2025,6,1,65
2025,6,2,55
2025,6,3,111
2025,6,4,57
2025,6,5,38
2025,6,6,45
2025,6,7,24
2025,6,8,11
2025,6,9,36
2025,6,10,9
2025,6,11,9
2025,6,NA,19653
